Job Position,Job Description,Date Created,Pooling Status,Job ID,Last Modified
Software Engineer,"Qualification:
Bachelor degree in technical majors is preferred (e.g. Computer Science, Information Technology or other related majors.)
Experienced in web development frameworks such as CodeIgniter and Laravel (with additional advantages in Next.js, Vue, and Django).
Passion in software engineering and big data systems
Proficient in PHP, JavaScript, and Python (as an additional skill).
Strong understanding of modular concepts.
Familiarity with Cloud Computing, such as AWS/GCP
Skilled in utilizing Docker as a development environment.
Proficient in using version control systems (Git).
Capable of leveraging AI tools to support tasks and develop automation.
Able to work effectively in a team and communicate clearly.

Job Description:
Bachelor degree in technical majors is preferred (e.g. Computer Science, Information Technology or other related majors.)
Experienced in web development frameworks such as CodeIgniter and Laravel (with additional advantages in Next.js, Vue, and Django).
Passion in software engineering and big data systems
Proficient in PHP, JavaScript, and Python (as an additional skill).
Strong understanding of modular concepts.
Familiarity with Cloud Computing, such as AWS/GCP
Skilled in utilizing Docker as a development environment.
Proficient in using version control systems (Git).
Capable of leveraging AI tools to support tasks and develop automation.
Able to work effectively in a team and communicate clearly.",2026-01-08 13:12:10,Pooled,262597.0,
Accounting Staff,"Job Description
Prepare and record accounting journal entries accurately and in a timely manner.
Understand, compile, and analyze financial statements, including balance sheets, income statements, and cash flow reports.
Perform bank reconciliation to ensure accuracy between company records and bank statements.
Maintain and update accounting records in accordance with applicable accounting standards.
Support monthly and annual closing processes.
Ensure financial data is complete, accurate, and well-documented.
Assist with audit and other accounting-related tasks as needed.
Minimum Qualifications
Bachelor’s degree in Accounting, Finance, or a related field.

Minimum 1 year of experience in accounting or a similar role.

Strong understanding of accounting principles and financial reporting.

Experience in preparing journal entries, financial statements, and bank reconciliation.

Proficient in Microsoft Excel and accounting software.

Detail-oriented with strong organizational and accuracy skills.

Able to work independently and collaboratively within a team.",2026-01-13 03:36:23,Pooled,262696.0,
Account Executive Japanese Client,"Requirements
• Degree in Japanese Literature or a related field.
• Fluent in Japanese for meetings, emails, and client communication.
• Experience working with Japanese clients or Japanese companies in a B2B setting.
• Strong understanding of Japanese business culture.
• Ability to support various Japan focused business needs such as market research and competitor analysis.
• Good communication and project coordination skills.
• Attention to detail and ability to manage multiple tasks.

Job Description
• Manage B2B clients from Japan and handle daily communication.
• Provide support for Japan related business needs including research and analysis.
• Coordinate internal teams to deliver projects based on client requirements.
• Maintain strong relationships with Japanese clients and understand their expectations.
• Prepare reports and insights to help improve client outcomes.
• Monitor timelines and ensure all tasks related to Japanese accounts are completed.",2025-11-22 13:08:50,Pooled,261684.0,2026-01-21 02:38:01
Procurement Event Officer,"Job Description:
Conduct vendor sourcing and selection processes in accordance with event requirements and company policies.
Assess and manage event budgets, including cost estimation, budgeting, and expense control.
Negotiate pricing, terms, and contracts with vendors to achieve cost efficiency and quality standards.
Coordinate with internal teams (event, finance, and operations) to ensure procurement needs are aligned with event objectives.
Monitor vendor performance and ensure timely delivery of goods and services for events.
Prepare procurement documentation, including vendor comparisons, contracts, and reports.
Ensure procurement processes comply with company procedures and timelines.
Support on-site event operations related to vendor coordination when required.

Minimum Qualifications
Bachelor’s degree in any major (preferably Business, Management, or related fields).
Proven experience in procurement and/or event operations.
Prior experience working in events is required.
Strong skills in vendor selection, budget assessment, and cost analysis.
Good negotiation and communication skills.
Able to work under pressure and manage multiple vendors simultaneously.
Detail-oriented, well-organized, and able to meet tight deadlines.
Willing to work flexible hours, including weekends or during events if needed.",2026-01-22 03:13:28,Pooled,262981.0,
Content Creator,"Job Description
Create and edit short-form video content (TikTok, Reels, YouTube Shorts) from concept to publishing.
Write scripts, captions, and hooks that grab audience attention quickly.
Use data and insights to analyze content performance and improve future strategies.
Edit videos using CapCut, Canva, or similar mobile tools with strong visual quality.
Design simple supporting graphics for video content.
Be willing to appear on camera when needed to boost engagement.
Keep up with social media trends to maintain fresh and relevant content.
Willing to work on weekends or outside normal hours if needed (with prior arrangement).

Minimum Qualifications
Minimum 1 year of experience in social media, media, agency, or creative industries.
Proven experience in creating short-form videos (TikTok, Reels, YouTube Shorts) with strong engagement.
Excellent storytelling and copywriting skills (captions, scripts, headlines, hooks).
Strong visual sense and basic graphic design skills (Canva or similar tools).
Proficient in video editing using mobile apps (CapCut, Canva, or equivalent).
Good understanding of social media trends and algorithms.
Comfortable appearing on camera when needed.
Analytical mindset with the ability to track and improve content performance using insights.",2025-12-03 02:36:09,Pooled,261126.0,2026-01-28 03:44:50
Freelance Data Scanner,"- Scan and review digital and print media daily to collect relevant news content.
- Scan selected articles based on assigned criteria.
- Crop and adjust articles to ensure clarity, accuracy, and compliance with content standards before submission.
- Upload scanned materials to the designated web dashboard and ensure proper categorization.
- Maintain an organized workflow to meet daily targets and ensure timely delivery.
- Candidates based in around Palmerah or West Jakarta.
- No minimum educational background required; candidates from all academic levels are welcome.
- Must be willing and able to work early morning shifts starting at 4:00 AM.
- Open to applicants of all age groups who are responsible, reliable, and committed to accuracy in work",2026-02-20 03:59:00,Pooled,0.0,2026-02-27 02:28:12
Account Executive VCBL,"1–3 years of experience as an Account Executive, preferably from Online Media/know basic programmatic
Experience in seek new prospective clients
Have good networking track with direct client/advertising agency is a plus
Have great communication, interpersonal & presentation skills
Understand the newest advertising industry, digital programmatic ads & digital media trends
Candidates with knowledge or experience in programmatic ads and programmatic sales are preferred.",2025-11-14 02:11:51,Pooled,259102.0,2026-02-26 09:11:18
Account Executive Pasangiklan.com,"Job Description
Canvasing for SME clients & maintain existing clients
Making strategy to achieve revenue target
Doing coordination for client's ad & events
Reporting for client's campaign
Weekly reporting for sales pipeline & target
Minimum Qualifications
Bachelor's degree from any discipline
Minimum 1 year experience as sales/Account Executive
Networking and negotiation skills
Able to make and execute a sales/marketing program
Having the capability to build good networking
Ability to multitask and work efficiently and effectively to meet required deadlines",2025-11-17 06:43:29,Pooled,256571.0,
Business Development Analyst,"Menyusun dan menerapkan strategi pengembangan bisnis yang sejalan dengan visi dan misi organisasi.
Melakukan assessment dan memberikan rekomendasi terhadap produk/layanan berjalan.
Menyusun proposal/studi kelayakan bisnis sesuai kebutuhan dan persyaratan bisnis terhadap inisiatif produk/layanan baru.
Melakukan analisis dan insight industri.
Minimum Qualifications
Minimal S1 jurusan/program studi Teknik Industri, Business/Manajemen maupun jurusan yang terkait lainnya.
Pengalaman bekerja minimal 3 tahun sebagai Business Development.
Mengerti proses bisnis media dan industri terkait media.
Mampu menjalankan riset pasar dan pengembangan produk, serta mengolah data kuantitatif/kualitatif.
Mampu melakukan perhitungan finansial untuk kebutuhan pengembangan bisnis.
Diutamakan memiliki pengalaman menangani proyek pengembangan product/service komersial.
Berpengalaman dalam pembuatan proposal/feasibility study dan financial projection
Mampu berbahasa inggris aktif, lisan dan tulisan secara profesional.",2025-12-12 03:02:32,,265100.0,2026-03-27 11:39:20
Data Analyst (Business Intelligence),"- Pengalaman kerja sebagai data
analis/insight/riset minimal 3 tahun - Latar
belakang pendidikan Sains/Manajemen/Teknik -
Kemampuan identifikasi masalah dan kebutuhan
data, serta analisis mendalam menghasilkan
actionable insights/inisiatif. - Kemampuan
statistika: Jenis pengukuran, Jenis data, Variabel,
Analisis Data (Deskriptif & Prediktif) - Kemampuan
Excel (wajib) dan SPSS/R/Python (diutamakan) -
Kemampuan reporting & presentasi - Pengetahuan
Lanskap Bisnis Media",2026-03-25 13:24:03,,265246.0,2026-03-26 11:39:19
Sustainability Officer KG Media,"Minimum Qualifications and Experience

Pemahaman atas konsep Jejak Karbon.
Pemahaman atas konsep SRoI Keahlian dalam project management (khususnya sustainability program).
Memiliki jaringan pendukung di bidang keberlanjutan.
Memiliki pengalaman bekerja di tim sustainability korporasi at any industry.
Pernah mengikuti pelatihan audit karbon, pelatihan penghitungan SRoI, pelatihan penulisan sustainability report.

Job Description

Melakukan penghitungan jejak karbon.
Melakukan penghitungan SRoI atas inisiatif keberlanjutan perusahaan.
Merumuskan program kerja untuk mendukung operasi berkelanjutan dari unit bisnis.
Bertanggung jawab atas pembuatan Impact Report KG Media.
Mengembangkan dan mengimplementasikan sustainability strategy perusahaan.
Mengikuti perkembangan regulasi dan standar sustainability terkini.",2026-03-31 07:19:26,,265471.0,
Marketing Communication Officer KG Media,"Minimum Qualifications and Experience

Bachelor's degree in Marketing, Communications, or a related field.
Strong execution skills with the ability to manage multiple projects simultaneously.
Hands-on experience in brand activation/event/campaign execution.
High ownership, proactive mindset, and strong attention to detail.
Excellent coordination and communication skills, with the ability to collaborate effectively across teams.
Data-driven thinking with the ability to translate insights into action.
Able to work in a fast-paced and dynamic environment.
Understand and eager to learn campaign management tools, content creation, and analytics platforms.
Eager to develop innovative campaigns that capture attention and drive engagement.
Strong presentation and negotiation skills for building media and partner relationships.

Job Description

End-to-end campaign execution; Plan, execute, and evaluate marketing campaigns and brand activations to ensure strong performance and measurable impact (awareness, engagement, and traffic).
Lead the execution of multiple brand activation programs (online & offline), ensuring smooth coordination, timely delivery, and high-quality implementation.
Cross-Functional collaboration; Work closely with editorial, creative, sales, and external partners to ensure alignment and effective execution across all touchpoints.
Performance & Impact Optimization; Monitor campaign performance (engagement, reach, conversion), analyze results, No specific training or certification is required.
Fresh graduates with internship experience in communication are preferred and continuously optimize strategies to improve outcomes.
Audience Engagement & Channel Optimization; Develop and implement strategies
to grow audience engagement across channels, including social media, newsletter, and other distribution platforms.
Partnership & Collaboration Development; Identify and manage strategic partnerships to expand reach, enhance brand value, and support campaign objectives.
Innovation & Continuous Improvement; Proactively bring new ideas, formats, and
approaches to improve campaign effectiveness and brand experience.",2026-04-01 09:16:49,,265541.0,
Strategic Planner KG Media,"Minimum Qualifications and Experience

Experienced 2 years of working in an agency (the digital agency is a plus).
Ability to independently source supporting data and research.
Ability to work across a broad range of client categories and a swathe of very different consumer groups.
An awareness of how digital fits within the communications landscape.
Experience in mobile marketing, social CRM, E-commerce, the search engine is preferred.
Good knowledge in analytical tools and possessing a portfolio of previous work in social media.
Deep dive knowledge in Paid, Own & Earn media.
Experience in Digital Ads (Social Media & Google).
Ability in mockup design is a plus.

Job Description

Developing proposal strategy to support client’s request.
Optimize inventory of all products / brands.
Developing project report.
Creating product innovation.
Creating creative concept based on client's objectives.
Able to create basic design mockup.",2026-04-01 09:36:14,,264624.0,
Reporter Megapolitan,"Minimum Qualifications and Experience

Passionate to be a journalist and creative.
Able to write and work on team.
Able to work under tight deadlines.
Candidate must have at least bachelor degree in any major from reputable university, preferably public university.
Having min. 1 year experience as a journalist.
Wiling to be assigned at any area in Jabodetabek.
Job Description

Doing news coverage and writing current urban issues and criminal events in Jabodetabek, based on editor's assignment.
Making short video.
Doing live report of current urban issues and events.",2026-04-06 03:03:00,,264515.0,
Reporter Nasional,"Job Description
Melakukan liputan tentang isu-isu politik dan hukum di tingkat nasional, termasuk kebijakan pemerintah, parlemen, dan lembaga hukum.
Menulis artikel berita yang menarik, akurat, dan sesuai dengan standar jurnalistik.
Menganalisis dan menyajikan informasi dengan objektif dan berimbang.
Melakukan wawancara dengan narasumber yang relevan.
Bekerja sama dengan tim editorial untuk memastikan konten sesuai dengan kode etik jurnalistik.

Minimum Qualifications
Lulusan jurusan Jurnalistik, Ilmu Politik, Hukum, Komunikasi, atau bidang terkait.
Minimal 1 tahun dan maksimal 3 tahun pengalaman sebagai reporter atau jurnalis di media online, dengan fokus pada isu politik dan/atau hukum.
Terbiasa menulis cepat dan akurat.
Memiliki koneksi atau networking dengan narasumber di pos liputan seperti DPR, Mabes Polri, KPK, Istana Presiden, Kementerian.
Familiar dengan media sosial dan tren jurnalistik digital.",2026-04-09 04:50:48,,264516.0,
Content Writer Homey,"Writing and editing trends and/or issues about home design/concept, interior design, gardening, and real estate.
Develop news angle about home design/concept, interior design, gardening, and real estate based on SEO keywords.
Familiar with home lifestyle and housing topics and current issues.
Having maximum 5 years experience as journalist at online media and using SEO tools.
Experienced in news topic research based on SEO.
Actively research topics from current social media trending topic.
Location in Surakarta or surroundings area.",2026-04-09 04:56:06,,264510.0,
